Market Name,Address,Start Date,End Date,When,Open,Close,Day of Week,Open,Close,SNAP/EBT,SNAP MATCH,HIP
Acton-Boxborough Farmers Market,"10-12 Pearl St, Acton, MA 01720",6/10/18,10/21/18,Sunday,10:00 AM,1:00 PM,,,,1,1,0
Arlington Farmers Market,"Russell Common Parking Lot, Winslow St @ Mystic St., Arlington, Ma",6/13/18,10/31/18,Wednesday,2:00 PM,6:30 PM,,,,0,0,0
Ashfield Farmers Market,"Town Common, Main St. Ashfield, MA 01330",5/12/18,10/27/18,Saturday,9:00 AM,1:00 PM,,,,1,0,1
Ashland Farmers Market,125 Front St,6/9/18,10/6/18,Saturday,9:00 AM,1:00 PM,,,,1,1,1
Ashmont Farmers Market,"1900 Dorchester Ave. Dorchester, MA 02124",6/29/18,10/19/18,Friday,3:00 PM,7:00 PM,,,,1,0,1
Barre Farmers Market,"Barre Common Barre, MA 01005",5/12/18,10/20/18,Saturday,9:00 AM,12:00 PM,,,,1,0,0
Belchertown Farmers and Artisans Market,Belchertown Town Common,6/3/18,10/7/18,Sunday,10:00 AM,2:00 PM,,,,1,0,1
Belmont Farmers Market,"Belmont Center Municipal Parking lot, intersection of Cross St & Channing Rd, Belmont MA 02478",6/7/18,10/25/18,Thursday,2:00 PM,6:30 PM,,,,1,1,1
Berkshire Area Farmers Market,"Berkshire Mall  old State Road, Lanesborough Ma",5/5/18,11/17/18,Wednesday,8:00 AM,2:00 PM,Saturday,8:00 AM,2:00 PM,0,,0
Billerica Farmers Market,"25 Concord Road, Billerica, MA 01821",6/25/18,10/1/18,Monday,3:00 PM,7:00 PM,,,,1,1,0
Braintree Farmers Market,"1 JFK Memorial Drive Braintree, MA 02184",6/16/18,11/17/18,Saturday,9:00 AM,1:00 PM,,,,1,0,1
Brockton Farmers Market,"45 School St, Brockton, MA 02301",7/13/18,10/26/18,Friday,10:00 AM,2:00 PM,,,,1,0,1
Brockton Farmers Market,"45 School St, Brockton, MA 20301",7/13/18,10/26/18,Friday,10:00 AM,2:00 PM,,,,1,0,1
Brookline Farmers Market,"Centre Street West Parking Lot in Coolidge Corner, Brookline, MA  02446",6/7/18,11/15/18,Thursday,1:30 PM,6:30 PM,,,,1,1,1
Cambridge Winter Farmers Market,"5 Callender Street, Cambridge MA 02139",1/6/18,4/7/18,Saturday,10:00 AM,2:00 PM,,,,1,1,1
Cape Ann Farmers Market,"24 Hough AvenueGloucester MA, 01930",6/7/18,10/11/18,Thursday,3:00 PM,6:30 PM,,,,1,1,1
Charles River Farmers Market Association,"1 Bennett Street, Cambridge, MA 02138",5/27/18,11/18/18,Friday,1:00 PM,6:00 PM,Sunday,10:00 AM,3:00 PM,0,,0
Chelmsford Farmers Market,"7 Academy St Chelmsford, MA 01824",6/16/18,9/22/18,Saturday,10:00 AM,2:00 PM,,,,0,0,0
Chicopee Farmers Market,"Chicopee Street, Chicopee Under I-391 overpass at the ""Y"" in Willimansett",7/11/18,9/19/18,Wednesday,10:30 AM,2:30 PM,,,,1,0,1
Dartmouth Farmers Market,"St. Mary's Parish Center, 789 Dartmouth St., Dartmouth, MA 02748",6/1/18,10/26/18,Friday,1:00 PM,6:00 PM,,,,1,,1
Downtown Pittsfield Farmers Market (Indoor),"Zion Lutheran Church, 74 1st St, Pittsfield, MA 01201",11/1/18,4/30/19,"Second Saturday of the Month, Nov-April",9:00 AM,1:00 PM,,,,1,1,1
Downtown Pittsfield Farmers Market (Outdoor),"The Common, 1st St, Pittsfield, MA 01201",5/12/18,10/13/18,Saturday,9:00 AM,1:00 PM,,,,1,1,1
Falmouth Farmers Market,"Marina Park, 180 Scranton Ave, Falmouth, MA 02540",5/24/18,10/11/18,Thursday,12:00 PM,6:00 PM,,,,1,1,1
Farmers Market at Forest Park,"220 Trafton Rd., Springfield,MA. Cyr Arena parking lot",5/1/18,10/30/18,Tuesday,12:30 PM,6:00 PM,,,,1,0,1
Fitchburg Farmers Market,"Upper Common, Fitchburg, MA 01420",6/14/18,10/25/18,Thursday,4:00 PM,7:00 PM,,,,1,0,1
Framingham Farmers Market,"2 Oak St, Framingham, MA 01701",6/14/18,10/11/18,Thursday,12:00 PM,5:30 PM,,,,1,1,1
Franklin Farmers Market,"Franklin Town Common Main and High Street, Franklin, MA 02038",6/1/18,10/26/18,Friday,12:00 PM,6:00 PM,,,,0,0,0
Gardner Farmers Market,Monument Park Park St.,5/10/18,10/25/18,Thursday,8:30 AM,12:30 PM,,,,0,,0
Great Barrington Farmers Market,"18 Church Street, Great Barrington MA 01230",5/12/18,10/27/18,Saturday,9:00 AM,1:00 PM,,,,1,1,1
Hingham Farmers Market,"44 Spring St.. Hingham, MA 02043",5/5/18,11/17/18,Saturday,9:00 AM,1:00 PM,,,,1,1,0
Holden Farmers Market,"1187 main st, holden,ma 01520",5/1/18,10/30/18,Tuesday,3:00 PM,6:30 PM,,,,0,,0
Hopkinton Farmers Market,Hopkinton Common (corner of Marathon Way and Ash St.),6/10/18,10/14/18,Sunday,1:00 PM,5:00 PM,,,,1,1,1
Kendall Center Farmers Market,"In front of the Marriott on Main St, near the Kendall T",5/16/18,10/31/18,Monday,11:00 AM,6:00 PM,Wednesday,11:00 AM,6:00 PM,1,0,0
Kendall Square Farmers Market,"500 Broad Canal Street, Cambridge, MA 02142",6/1/18,9/30/18,Thursday,11:00 AM,2:00 PM,,,,0,,0
