Market Name,Address,Start Date,End Date,Days of Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Open,Close,SNAPEBT,SNAPMATCH,HIP,Latitude,Longitude,Winter,Website,MFM Members
Acton-Boxborough Farmers Market,"10-12 Pearl St, Acton, MA 01720",6/10/2018,10/21/2018,Sunday,0,0,0,0,0,0,1,10:00 AM,1:00 PM,1,1,0,42.475238,-71.473694,0,abfarmersmarket.org,1
Arlington Farmers Market,"Russell Common Parking Lot, Winslow St @ Mystic St., Arlington, Ma",6/13/2018,10/31/2018,Wednesday,0,0,1,0,0,0,0,2:00 PM,6:30 PM,0,0,0,42.415969,-71.151248,0,farmersmarketarlington.org ,1
Ashfield Farmers Market,"Town Common, Main St. Ashfield, MA 01330",5/12/2018,10/27/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,1:00 PM,1,0,1,42.525876,-72.790707,0,ashfieldfarmersmarket.com,1
Ashland Farmers Market,125 Front St,6/9/2018,10/6/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,1:00 PM,1,1,1,42.260281,-71.462455,0,ashlandfarmersmarket.org,1
Ashmont Farmers Market,"1900 Dorchester Ave. Dorchester, MA 02124",6/29/2018,10/19/2018,Friday,0,0,0,0,1,0,0,3:00 PM,7:00 PM,1,0,1,42.284725,-71.064504,0,greaterashmont.org/farmers-market/,1
Barre Farmers Market,"Barre Common Barre, MA 01005",5/12/2018,10/20/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,12:00 PM,1,0,0,42.454066,-72.103433,0,barrefarmersmarket.org,1
Belchertown Farmers and Artisans Market,Belchertown Town Common,6/3/2018,10/7/2018,Sunday,0,0,0,0,0,0,1,10:00 AM,2:00 PM,1,0,1,42.279639,-72.402381,0,belchertownfarmersmarket.org,1
Belmont Farmers Market,"Belmont Center Municipal Parking lot, intersection of Cross St & Channing Rd, Belmont MA 02478",6/7/2018,10/25/2018,Thursday,0,0,0,1,0,0,0,2:00 PM,6:30 PM,1,1,1,42.396582,-71.173788,0,belmontfarmersmarket.org,1
Berkshire Area Farmers Market,"Berkshire Mall  old State Road, Lanesborough Ma",5/5/2018,11/17/2018,"Wednesday, Saturday",0,0,1,0,0,1,0,"8:00 AM, -","2:00 PM, -",0,,0,42.49285,-73.206615,0,www.berkshires.org/plan-your-trip/farmers-markets/,1
Billerica Farmers Market,"25 Concord Road, Billerica, MA 01821",6/25/2018,10/1/2018,Monday,1,0,0,0,0,0,0,3:00 PM,7:00 PM,1,1,0,42.557697,-71.269999,0,www.billericafarmersmarket.org,1
Braintree Farmers Market,"1 JFK Memorial Drive Braintree, MA 02184",6/16/2018,11/17/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,1:00 PM,1,0,1,42.206261,-71.005083,0,www.braintreefarmersmarket.com,1
Brockton Farmers Market,"45 School St, Brockton, MA 02301",7/13/2018,10/26/2018,Friday,0,0,0,0,1,0,0,10:00 AM,2:00 PM,1,0,1,42.082563,-71.018298,0,www.brocktonfarmersmarket.com/,1
Brookline Farmers Market,"Centre Street West Parking Lot in Coolidge Corner, Brookline, MA  02446",6/7/2018,11/15/2018,Thursday,0,0,0,1,0,0,0,1:30 PM,6:30 PM,1,1,1,42.342416,-71.124291,0,www.brooklinefarmersmarket.com,1
Cambridge Winter Farmers Market,"5 Callender Street, Cambridge MA 02139",1/6/2018,4/7/2018,Saturday,0,0,0,0,0,1,0,10:00 AM,2:00 PM,1,1,1,42.365666,-71.111215,1,www.cambridgewinterfarmersmarket.com,1
Cape Ann Farmers Market,"24 Hough Avenue Gloucester MA, 01930",6/7/2018,10/11/2018,Thursday,0,0,0,1,0,0,0,3:00 PM,6:30 PM,1,1,1,42.60351,-70.680072,0,www.capeannfarmersmarket.org/,1
Charles River Farmers Market Association,"1 Bennett Street, Cambridge, MA 02138",5/27/2018,11/18/2018,"Friday, Sunday",0,0,0,0,1,0,1,"1:00 PM, 10:00AM","6:00 PM, 3:00 PM",0,,0,42.372293,-71.12283,0,www.charlesriverfarmersmarket.com/,1
Chelmsford Farmers Market,"7 Academy St Chelmsford, MA 01824",6/16/2018,9/22/2018,Saturday,0,0,0,0,0,1,0,10:00 AM,2:00 PM,0,0,0,42.598475,-71.353229,0,www.chelmsfordagwayfarmersmarket.blogspot.com,1
Chicopee Farmers Market,"767 Chicopee St, Chicopee, MA 01013",7/11/2018,9/19/2018,Wednesday,0,0,1,0,0,0,0,10:30 AM,2:30 PM,1,0,1,42.1871024,-72.6094544,0,www.valleyopp.com/food-nutrition/chicopee-farmers-market,1
Dartmouth Farmers Market,"St. Mary's Parish Center, 789 Dartmouth St., Dartmouth, MA 02748",6/1/2018,10/26/2018,Friday,0,0,0,0,1,0,0,1:00 PM,6:00 PM,1,,1,41.592641,-70.943458,0,www.dartmouthfarmersmarket.com/,1
Downtown Pittsfield Winter Farmers Market,"Zion Lutheran Church, 74 1st St, Pittsfield, MA 01201",11/1/2018,4/30/2019,"Second Saturday of the Month, Nov-April",0,0,0,0,0,1,0,9:00 AM,1:00 PM,1,1,1,42.450503,-73.250038,1,www.farmersmarketpittsfield.org,1
Downtown Pittsfield Summer Farmers Market,"The Common, 1st St, Pittsfield, MA 01201",5/12/2018,10/13/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,1:00 PM,1,1,1,42.450959,-73.249469,0,www.farmersmarketpittsfield.org,1
Falmouth Farmers Market,"Marina Park, 180 Scranton Ave, Falmouth, MA 02540",5/24/2018,10/11/2018,Thursday,0,0,0,1,0,0,0,12:00 PM,6:00 PM,1,1,1,41.548832,-70.603456,0,www.falmouthfarmersmarket.org,1
Farmers Market at Forest Park,"220 Trafton Rd., Springfield,MA. Cyr Arena parking lot",5/1/2018,10/30/2018,Tuesday,0,1,0,0,0,0,0,12:30 PM,6:00 PM,1,0,1,42.081055,-72.56043,0,www.farmersmarketatforestpark.com/,1
Fitchburg Farmers Market,"Upper Common, Fitchburg, MA 01420",6/14/2018,10/25/2018,Thursday,0,0,0,1,0,0,0,4:00 PM,7:00 PM,1,0,1,42.586286,-71.805332,0,www.facebook.com/FitchburgFarmersMarket/,1
Framingham Farmers Market,"2 Oak St, Framingham, MA 01701",6/14/2018,10/11/2018,Thursday,0,0,0,1,0,0,0,12:00 PM,5:30 PM,1,1,1,42.301428,-71.434498,0,guide.farmfreshri.org/food/farmersmarkets_details.php?market=80,1
Franklin Farmers Market,"Franklin Town Common Main and High Street, Franklin, MA 02038",6/1/2018,10/26/2018,Friday,0,0,0,0,1,0,0,12:00 PM,6:00 PM,0,0,0,42.087641,-71.400598,0,www.franklinfarmersmarketma.com/,1
Gardner Farmers Market,Monument Park Park St.,5/10/2018,10/25/2018,Thursday,0,0,0,1,0,0,0,8:30 AM,12:30 PM,0,,0,42.578658,-71.992362,0,guide.farmfreshri.org/food/farmersmarkets_details.php?market=83,1
Great Barrington Farmers Market,"18 Church Street, Great Barrington MA 01230",5/12/2018,10/27/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,1:00 PM,1,1,1,42.194479,-73.361265,0,www.greatbarringtonfarmersmarket.org,1
